sentence_id,sentence,case_marker_score,num_case_markers,score_diff_from_ref,is_reference
file-andhe_ki_lathi-1507111038__1.0,पालगी भईया कहते हुए धूलीचन्द पांव छूआ और सामने खड़े होकर भीखनरायन की दीन - दशा को चकित होकर निहारने लगा । ,-2.2505822382615763,2,0.0,True
file-andhe_ki_lathi-1507111038__1.1,पालगी भईया कहते हुए धूलीचन्द पांव छूआ और सामने खड़े होकर भीखनरायन की होकर चकित दीन - दशा को निहारने लगा । ,-2.422330708512846,2,-0.1717484702512695,False
file-andhe_ki_lathi-1507111038__1.2,पालगी भईया कहते हुए धूलीचन्द पांव छूआ और सामने खड़े दीन - दशा को भीखनरायन की होकर चकित होकर निहारने लगा । ,-2.182842870101259,2,0.06773936816031734,False
file-andhe_ki_lathi-1507111038__10.0,मैं तो अदना सा इंसान हूं । ,0.0,0,0.0,True
file-andhe_ki_lathi-1507111038__10.1,अदना सा इंसान मैं तो हूं । ,0.0,0,0.0,False
file-andhe_ki_lathi-1507111038__100.0,इसी बीच श्रीधर भी सप्ताह भर बाद आ गया । ,0.0,0,0.0,True
file-andhe_ki_lathi-1507111038__100.1,इसी बीच सप्ताह भर बाद श्रीधर भी आ गया । ,0.0,0,0.0,False
file-andhe_ki_lathi-1507111038__100.2,श्रीधर भी इसी बीच सप्ताह भर बाद आ गया । ,0.0,0,0.0,False
file-andhe_ki_lathi-1507111038__100.3,श्रीधर भी सप्ताह भर बाद इसी बीच आ गया । ,0.0,0,0.0,False
file-andhe_ki_lathi-1507111038__100.4,सप्ताह भर बाद इसी बीच श्रीधर भी आ गया । ,0.0,0,0.0,False
file-andhe_ki_lathi-1507111038__100.5,सप्ताह भर बाद श्रीधर भी इसी बीच आ गया । ,0.0,0,0.0,False
file-andhe_ki_lathi-1507111038__101.0,25 साल की लम्बी अवधि के बाद दादा भीखनरायन को अपने दरवाजे बैठा देखकर चकित रह गया । ,-1.9576548693305602,3,0.0,True
file-andhe_ki_lathi-1507111038__101.1,25 साल की लम्बी अवधि के बाद दादा भीखनरायन को अपने दरवाजे बैठा चकित देखकर रह गया । ,-1.9576548693305602,3,0.0,False
file-andhe_ki_lathi-1507111038__101.2,25 साल की देखकर दादा भीखनरायन को अपने दरवाजे बैठा लम्बी अवधि के बाद चकित रह गया । ,-1.8409126819985528,3,0.11674218733200736,False
file-andhe_ki_lathi-1507111038__101.3,25 साल की देखकर दादा भीखनरायन को अपने दरवाजे बैठा चकित लम्बी अवधि के बाद रह गया । ,-1.890912681998553,3,0.06674218733200732,False
file-andhe_ki_lathi-1507111038__101.4,25 साल की चकित दादा भीखनरायन को अपने दरवाजे बैठा लम्बी अवधि के बाद देखकर रह गया । ,-1.8409126819985528,3,0.11674218733200736,False
file-andhe_ki_lathi-1507111038__101.5,25 साल की चकित दादा भीखनरायन को अपने दरवाजे बैठा देखकर लम्बी अवधि के बाद रह गया । ,-1.890912681998553,3,0.06674218733200732,False
file-andhe_ki_lathi-1507111038__102.0,वह गाड़ी खड़ी कर भागते हुए आया और भीखनरायन का चरण स्पर्श करते हुए बोला दादा सब ठीक तो है ना । ,0.0,1,0.0,True
file-andhe_ki_lathi-1507111038__102.1,वह गाड़ी खड़ी कर भागते हुए आया और भीखनरायन का चरण स्पर्श करते हुए बोला दादा ठीक तो सब है ना । ,0.0,1,0.0,False
file-andhe_ki_lathi-1507111038__102.2,वह गाड़ी खड़ी कर भागते हुए आया और भीखनरायन का चरण स्पर्श करते हुए बोला सब दादा ठीक तो है ना । ,0.0,1,0.0,False
file-andhe_ki_lathi-1507111038__102.3,वह गाड़ी खड़ी कर भागते हुए आया और भीखनरायन का चरण स्पर्श करते हुए बोला सब ठीक तो दादा है ना । ,0.0,1,0.0,False
file-andhe_ki_lathi-1507111038__102.4,वह गाड़ी खड़ी कर भागते हुए आया और भीखनरायन का चरण स्पर्श करते हुए बोला ठीक तो दादा सब है ना । ,0.0,1,0.0,False
file-andhe_ki_lathi-1507111038__102.5,वह गाड़ी खड़ी कर भागते हुए आया और भीखनरायन का चरण स्पर्श करते हुए बोला ठीक तो सब दादा है ना । ,0.0,1,0.0,False
